_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,affability,affabilitycountry,africanm,africanmcountry,africanw,africanwcountry,age,americanm,americanmcountry,americanw,americanwcountry,eastasianm,eastasianmcountry,eastasianw,eastasianwcountry,emotionalsensitivity,emotionalsensitivitycountry,health,healthcountry,humor,humorcountry,intelligence,intelligencecountry,middleeasternm,middleeasternmcountry,middleeasternw,middleeasternwcountry,orientation,physicalattractiveness,physicalattractivenesscountry,socialstatus,socialstatuscountry,southasianm,southasianmcountry,southasianw,southasianwcountry,wealth,wealthcountry,what_country_do_you_live_in,your_ethnicity,yourgender,affability_gold,affabilitycountry_gold,africanm_gold,africanmcountry_gold,africanw_gold,africanwcountry_gold,americanm_gold,americanmcountry_gold,americanw_gold,americanwcountry_gold,eastasianm_gold,eastasianmcountry_gold,eastasianw_gold,eastasianwcountry_gold,emotionalsensitivity_gold,emotionalsensitivitycountry_gold,gender,health_gold,healthcountry_gold,humor_gold,humorcountry_gold,intelligence_gold,intelligencecountry_gold,middleeasternm_gold,middleeasternmcountry_gold,middleeasternw_gold,middleeasternwcountry_gold,physicalattractiveness_gold,physicalattractivenesscountry_gold,region,socialstatus_gold,socialstatuscountry_gold,southasianm_gold,southasianmcountry_gold,southasianw_gold,southasianwcountry_gold,url,wealth_gold,wealthcountry_gold
939617249,4/27/2016 23:46:00,1970624779,4/27/2016 23:39:08,false,clixsense,1.0,36141427,TUR,34,Istanbul,212.252.167.74,7,7,,,5,5,25-30,,,5,5,,,5,5,7,7,7,7,7,7,7,7,,,5,5,Women,7,7,7,7,,,3,3,7,7,Türkiye,Beyaz,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:00:17,1970629242,4/27/2016 23:56:00,false,neodev,0.6,21808060,IND,19,Bangalore,117.192.128.69,6,6,,,5,5,18-24,,,5,5,,,5,5,7,7,6,7,7,7,7,7,,,5,5,Women,6,6,7,7,,,4,5,6,6,India,South Asian,Female,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:02:00,1970629698,4/27/2016 23:57:36,false,clixsense,0.5,35768287,IND,16,Pune,182.77.89.111,6,6,,,3,4,31-45,,,5,5,,,4,4,6,6,6,6,6,6,6,6,,,3,3,Women,7,7,6,6,,,3,4,6,6,India,South Asian,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:09:48,1970631330,4/28/2016 00:08:06,false,points2shop,0.55,6764400,USA,MO,Blue Springs,174.58.129.53,4,4,,,4,5,18-24,,,5,4,,,5,4,7,3,5,2,5,7,5,6,,,4,2,Women,5,7,1,6,,,5,4,2,6,USA,White,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:26:56,1970635770,4/28/2016 00:09:13,false,prodege,0.32,1944668,USA,IN,Evansville,96.28.220.110,6,5,3,3,,,61+,4,4,,,3,3,,,6,1,7,6,5,4,7,2,3,3,,,Men,2,7,2,6,3,3,,,4,7,USA,White,Female,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:29:37,1970636468,4/28/2016 00:26:30,false,elite,0.6,33020505,USA,CA,Milpitas,50.143.173.1,5,4,,,4,4,18-24,,,4,4,,,5,5,6,7,5,5,6,5,6,5,,,3,4,Women,5,6,5,4,,,3,3,7,6,USA,South Asian,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:36:12,1970637800,4/28/2016 00:33:23,false,instagc,0.3429,15921763,USA,KS,Wichita,98.164.12.4,7,7,5,3,,,31-45,3,3,,,3,3,,,7,5,7,5,7,5,7,7,2,2,,,Men,4,7,7,4,3,3,,,7,7,USA,Black,Female,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:37:54,1970638118,4/28/2016 00:36:42,false,prodege,0.525,32253184,USA,NC,Burlington,75.183.98.31,5,5,,,4,4,25-30,,,4,3,,,4,3,3,4,3,3,6,6,6,4,,,3,4,Women,5,6,3,3,,,4,3,4,4,USA,White,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:40:58,1970639083,4/28/2016 00:28:21,false,neodev,0.5111,24003527,IND,25,Chennai,117.193.144.175,7,7,,,4,2,31-45,,,3,3,,,5,4,7,7,6,7,6,6,7,7,,,4,3,Women,6,6,6,6,,,3,4,6,6,India,South Asian,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
939617249,4/28/2016 00:47:20,1970640705,4/28/2016 00:39:39,false,instagc,0.52,22251483,USA,NY,Brooklyn,24.186.91.143,4,7,,,3,3,31-45,,,4,3,,,3,3,7,4,7,7,5,7,5,7,,,2,2,Women,4,7,5,3,,,3,3,4,7,USA,Latino/Hispanic,Male,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,east_asian,,,,,,,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg,,
