country,gender,age,ethnicity,orientation,intelligence,intelligencecountry,humor,humorcountry,wealth,wealthcountry,physicalattractiveness,physicalattractivenesscountry,socialstatus,socialstatuscountry,health,healthcountry,emotionalsensitivity,emotionalsensitivitycountry,affability,affabilitycountry,southasianm,southasianmcountry,eastasianm,eastasianmcountry,americanm,americanmcountry,africanm,africanmcountry,middleeasternm,middleeasternmcountry,middleeasternw,middleeasternwcountry,africanw,africanwcountry,americanw,americanwcountry,eastasianw,eastasianwcountry,southasianw,southasianwcountry
Turkey,Male,25-30,Beyaz,Women,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,5,5,5,5,5,5,5,5,3,3
India,Female,18-24,South Asian,Women,7,7,7,7,6,6,6,6,7,7,6,7,7,7,6,6,,,,,,,,,,,5,5,5,5,5,5,5,5,4,5
India,Male,31-45,South Asian,Women,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,,,,,,,,,,,3,3,3,4,5,5,4,4,3,4
USA,Male,18-24,White,Women,5,6,5,7,2,6,5,7,1,6,5,2,7,3,4,4,,,,,,,,,,,4,2,4,5,5,4,5,4,5,4
USA,Female,61+,White,Men,7,2,5,4,4,7,2,7,2,6,7,6,6,1,6,5,3,3,3,3,4,4,3,3,3,3,,,,,,,,,,
USA,Male,18-24,South Asian,Women,6,5,6,5,7,6,5,6,5,4,5,5,6,7,5,4,,,,,,,,,,,3,4,4,4,4,4,5,5,3,3
USA,Female,31-45,Black,Men,7,7,7,5,7,7,4,7,7,4,7,5,7,5,7,7,3,3,3,3,3,3,5,3,2,2,,,,,,,,,,
USA,Male,25-30,White,Women,6,4,6,6,4,4,5,6,3,3,3,3,3,4,5,5,,,,,,,,,,,3,4,4,4,4,3,4,3,4,3
India,Male,31-45,South Asian,Women,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,,,,,,,,,,,4,3,4,2,3,3,5,4,3,4
USA,Male,31-45,Latino/Hispanic,Women,5,7,5,7,4,7,4,7,5,3,7,7,7,4,4,7,,,,,,,,,,,2,2,3,3,4,3,3,3,3,3
USA,Male,31-45,Latino/Hispanic,Women,7,4,7,5,3,5,6,7,1,6,6,7,7,7,7,5,,,,,,,,,,,4,2,4,2,4,2,4,3,4,2
India,Female,18-24,South Asian,Women,7,6,6,6,6,6,6,6,7,6,7,7,6,7,7,7,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5
India,Male,18-24,East Asian,Women,7,7,6,7,6,6,6,7,6,7,7,7,6,7,6,6,,,,,,,,,,,4,4,4,4,5,5,5,5,4,4
