id,affability,affabilitycountry,africanm,africanmcountry,africanw,africanwcountry,age,americanm,americanmcountry,americanw,americanwcountry,eastasianm,eastasianmcountry,eastasianw,eastasianwcountry,emotionalsensitivity,emotionalsensitivitycountry,health,healthcountry,humor,humorcountry,intelligence,intelligencecountry,middleeasternm,middleeasternmcountry,middleeasternw,middleeasternwcountry,orientation,physicalattractiveness,physicalattractivenesscountry,socialstatus,socialstatuscountry,southasianm,southasianmcountry,southasianw,southasianwcountry,wealth,wealthcountry,what_country_do_you_live_in,your_ethnicity,yourgender,gender,region,url
1970624779,7,7,,,5,5,25-30,,,5,5,,,5,5,7,7,7,7,7,7,7,7,,,5,5,Women,7,7,7,7,,,3,3,7,7,Turkey,Beyaz,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970629242,6,6,,,5,5,18-24,,,5,5,,,5,5,7,7,6,7,7,7,7,7,,,5,5,Women,6,6,7,7,,,4,5,6,6,India,South Asian,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970629698,6,6,,,3,4,31-45,,,5,5,,,4,4,6,6,6,6,6,6,6,6,,,3,3,Women,7,7,6,6,,,3,4,6,6,India,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970631330,4,4,,,4,5,18-24,,,5,4,,,5,4,7,3,5,2,5,7,5,6,,,4,2,Women,5,7,1,6,,,5,4,2,6,USA,White,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970635770,6,5,3,3,,,61+,4,4,,,3,3,,,6,1,7,6,5,4,7,2,3,3,,,Men,2,7,2,6,3,3,,,4,7,USA,White,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970636468,5,4,,,4,4,18-24,,,4,4,,,5,5,6,7,5,5,6,5,6,5,,,3,4,Women,5,6,5,4,,,3,3,7,6,USA,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970637800,7,7,5,3,,,31-45,3,3,,,3,3,,,7,5,7,5,7,5,7,7,2,2,,,Men,4,7,7,4,3,3,,,7,7,USA,Black,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970638118,5,5,,,4,4,25-30,,,4,3,,,4,3,3,4,3,3,6,6,6,4,,,3,4,Women,5,6,3,3,,,4,3,4,4,USA,White,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970639083,7,7,,,4,2,31-45,,,3,3,,,5,4,7,7,6,7,6,6,7,7,,,4,3,Women,6,6,6,6,,,3,4,6,6,India,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970640705,4,7,,,3,3,31-45,,,4,3,,,3,3,7,4,7,7,5,7,5,7,,,2,2,Women,4,7,5,3,,,3,3,4,7,USA,Latino/Hispanic,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970649673,7,5,,,4,2,31-45,,,4,2,,,4,3,7,7,6,7,7,5,7,4,,,4,2,Women,6,7,1,6,,,4,2,3,5,USA,Latino/Hispanic,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970651209,7,7,,,5,5,18-24,,,5,5,,,5,5,6,7,7,7,6,6,7,6,,,5,5,Women,6,6,7,6,,,5,5,6,6,India,South Asian,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970653759,6,6,,,4,4,18-24,,,5,5,,,5,5,6,7,7,7,6,7,7,7,,,4,4,Women,6,7,6,7,,,4,4,6,6,India,East Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970654701,6,5,,,3,3,31-45,,,3,4,,,4,4,4,5,6,5,6,5,6,5,,,3,3,Women,5,5,6,4,,,3,4,7,5,India,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970658613,4,4,,,4,3,31-45,,,2,2,,,3,4,5,5,3,4,6,5,7,4,,,3,3,Women,2,5,2,2,,,3,2,2,4,USA,White,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970314820,5,5,,,4,4,18-24,,,4,4,,,4,4,5,5,5,5,5,5,5,4,,,4,3,Women,5,5,5,5,,,4,4,6,5,USA,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970410939,6,7,1,1,1,1,18-24,4,3,5,5,2,3,5,5,5,7,5,5,5,5,7,7,4,3,2,2,Women,5,5,5,5,1,1,1,1,5,5,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
