country,gender,age,ethnicity,orientation,intelligence,intelligencecountry,humor,humorcountry,wealth,wealthcountry,physicalattractiveness,physicalattractivenesscountry,socialstatus,socialstatuscountry,health,healthcountry,emotionalsensitivity,emotionalsensitivitycountry,affability,affabilitycountry,southasianm,southasianmcountry,eastasianm,eastasianmcountry,americanm,americanmcountry,africanm,africanmcountry,middleeasternm,middleeasternmcountry,middleeasternw,middleeasternwcountry,africanw,africanwcountry,americanw,americanwcountry,eastasianw,eastasianwcountry,southasianw,southasianwcountry
USA,Female,25-30,White,Men,6,5,4,4,4,6,5,6,4,5,3,3,6,3,2,2,2,1,3,2,4,4,3,3,2,1,,,,,,,,,,
India,Male,31-45,South Asian,Women,7,6,5,5,6,6,7,7,7,7,3,3,4,4,2,2,,,,,,,,,,,3,3,2,2,5,5,5,4,4,4
USA,Female,31-45,White,Men,4,5,4,4,4,4,4,5,3,3,3,3,5,5,2,2,2,2,3,3,4,3,2,1,1,1,,,,,,,,,,
India,Female,18-24,South Asian,Women,7,7,5,5,3,3,3,3,4,4,3,3,6,6,2,2,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
USA,Female,61+,White,Men,6,5,6,6,6,7,5,7,5,5,3,3,6,6,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
USA,Female,31-45,White,Men,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
India,Male,25-30,South Asian,Women,5,4,4,4,5,7,5,7,4,6,3,3,6,6,2,2,,,,,,,,,,,1,1,2,2,5,4,4,4,3,3
USA,Female,46-60,White,Men,6,6,6,6,2,6,2,6,7,7,3,3,6,4,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,
USA,Female,61+,White,Men,6,5,6,6,5,6,5,5,5,5,3,3,5,4,2,2,4,4,4,4,2,2,3,3,3,3,,,,,,,,,,
Turkey,Male,31-45,White,Women,5,7,5,6,5,4,3,3,5,4,3,3,5,5,2,2,,,,,,,,,,,3,3,3,3,4,3,4,3,3,3
India,Female,46-60,South Asian,Men,6,4,5,4,4,6,5,6,4,6,3,3,6,6,2,2,4,4,4,3,4,3,4,3,4,4,,,,,,,,,,
USA,Female,46-60,White,Men,6,6,6,6,6,5,6,6,4,5,3,3,5,5,2,2,2,3,3,3,3,4,4,3,1,2,,,,,,,,,,
